title,type,description,speakers,date,time_start,time_end,length_in_hours,room,event_id,event_url
Philip Meyer Award Presentation,Special Event,"The presentation of the 2016 Philip Meyer Journalism Awards will take place on Friday at the 2017 CAR Conference in Jacksonville. The awards recognize the best uses of social research methods in journalism and are named in honor of Philip Meyer, author of “Precision Journalism” and retired Knight Chair in Journalism and UNC School of Journalism and Mass Communications.

Three awards are given annually — a first, second and third place — to recognize the best work using techniques that are part of precision journalism, computer-assisted reporting and social science research. The awards are: $500 for first, $300 for second, and $200 for third.

For information on the 2016 Award winners, click here.",TBA,2017-03-03,18:00,18:15,0.25,Conference Center A&B,2702/2993,https://ire.org/events-and-training/event/2702/2993/
Philip Meyer Award Reception & David Donald Remembrance,Reception,"Join fellow CAR attendees in celebrating the Philip Meyer Award Winners at a reception Friday night with light hor d'oeuvres and a cash bar beginning at 6:15 p.m. in River Terrace 1.

Join us for a brief tribute to former IRE training director and Philip Meyer Award winner David Donald, who died in December.",TBA,2017-03-03,18:15,19:30,1.25,River Terrace 1,2702/2994,https://ire.org/events-and-training/event/2702/2994/
Conference registration (Saturday),Special Event,Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront.,TBA,2017-03-04,08:30,18:00,9.5,3rd floor - Skybridge,2702/3002,https://ire.org/events-and-training/event/2702/3002/
Conference sales (Saturday),Special Event,,TBA,2017-03-04,08:30,18:00,9.5,3rd floor - Skybridge,2702/3006,https://ire.org/events-and-training/event/2702/3006/
Advanced analysis in SQL,Hands-on,,Meghan Hoyer,2017-03-04,09:00,10:00,1.0,City Terrace 10,2702/2956,https://ire.org/events-and-training/event/2702/2956/
Breaking through the Facebook wall: Reporting on Facebook using components of Facebook,Panel,,"Julia Angwin, Jon Keegan, Jeremy Merrill",2017-03-04,09:00,10:00,1.0,Conference Center B,2702/2916,https://ire.org/events-and-training/event/2702/2916/
Conversations 9 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-04,09:00,10:00,1.0,City Terrace 12,2702/2984,https://ire.org/events-and-training/event/2702/2984/
Drawing for a better brain,Demo,,TBA,2017-03-04,09:00,10:00,1.0,River Terrace 2,2702/3115,https://ire.org/events-and-training/event/2702/3115/
Extracting data from PDFs (repeat session),Hands-on,,Miguel Barbosa,2017-03-04,09:00,10:00,1.0,City Terrace 7,2702/2954,https://ire.org/events-and-training/event/2702/2954/
Geocoding addresses,Hands-on,,Michael Corey,2017-03-04,09:00,10:00,1.0,City Terrace 8,2702/3079,https://ire.org/events-and-training/event/2702/3079/
Intro to database manager MySQL I,Hands-on,"We’ll show you how to import files into MySQL, a powerful open-source database manager. You’ll use SQL to sort, query and add new fields to make sense of the data.

This session is good for: Anyone with basic spreadsheet or database skills.",Ronald Campbell,2017-03-04,09:00,10:00,1.0,City Terrace 11,2702/2957,https://ire.org/events-and-training/event/2702/2957/
Simple ways to create immersive news stories,Panel,,TBA,2017-03-04,09:00,10:00,1.0,Conference Center A,2702/3008,https://ire.org/events-and-training/event/2702/3008/
Stats: An introduction,Hands-on,,Holly Hacker,2017-03-04,09:00,10:00,1.0,City Terrace 9,2702/2955,https://ire.org/events-and-training/event/2702/2955/
Under pressure: Real life in real time with breaking news,Hands-on,,"Noah Pransky, Nicole Vap",2017-03-04,09:00,10:00,1.0,City Terrace 4,2702/3068,https://ire.org/events-and-training/event/2702/3068/
Securing data and communications,Panel,"Are your sources’ identities at risk? Are you handling sensitive information? Do you need to protect your data from digital espionage? Do you need to encrypt your communication with editors and sources? Are you under technical attack? In two hours, your information security skills will go to the next level. Use a digital security toolbox and learn how to store, send and receive sensitive information. Bring your computers and mobile phones, and enjoy a cryptoparty at NICAR 2017!",Jorge Luis Sierra,2017-03-04,09:00,11:15,2.25,River Terrace 1,2702/2917,https://ire.org/events-and-training/event/2702/2917/
Intro to R (intermediate) *pre-registered attendees only,Hands-on,"Add statistical heft to your reporting by using R, a free, powerful open-source programming language. By the end of this two-hour session, you will be able to take raw data, import it into R, and start your analysis. Topics will include basic data importing, working with directories, reading in data, installing packages, creating simple visualizations, and how to clean, explore and sort your data. We'll also talk about how to find help when you're stuck.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: This session will be most helpful if you’re comfortable working with data and you’re ready to take your skills to the next level.

NOTE: Registration is required for this session. Click here to sign up.",Charles Minshew,2017-03-04,09:00,12:30,3.5,City Terrace 5,2702/2886,https://ire.org/events-and-training/event/2702/2886/
Build your first news app (intermediate) *pre-registered attendees only,Hands-on,"This mini-boot camp will walk you through the process of building a simple online news application from a dataset. You will get hands-on experience in every stage of the development process, writing Python, HTML and JavaScript using version control tools. You won't stop until you've deployed a working application onto the World Wide Web.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: If you have a good attitude and know how to take a few code crashes in stride, you are qualified for this class.

NOTE: Registration is required for this session. Click here to sign up.","Armand Emamdjomeh, Ben Welsh",2017-03-04,09:00,17:45,8.75,City Terrace 6,2702/2885,https://ire.org/events-and-training/event/2702/2885/
A roundup of international CAR,Panel,,TBA,2017-03-04,10:15,11:15,1.0,Conference Center B,2702/3116,https://ire.org/events-and-training/event/2702/3116/
Advanced pdf manipulation (repeat session),Hands-on,,Jacob Fenton,2017-03-04,10:15,11:15,1.0,City Terrace 8,2702/3080,https://ire.org/events-and-training/event/2702/3080/
Behind the scenes: Electionland,Panel,,"John Keefe, Scott Klein, Olivia Ma",2017-03-04,10:15,11:15,1.0,Conference Center A,2702/2918,https://ire.org/events-and-training/event/2702/2918/
Conversations 10 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-04,10:15,11:15,1.0,City Terrace 12,2702/2985,https://ire.org/events-and-training/event/2702/2985/
Data cleaning in SQL,Hands-on,"Spend enough time around databases and inevitably you’ll come across one that has an obnoxious number of variations on city names: New York City. New York. NYC. NY. And yes, even NY City. If you’re not sure how to handle that, this session is for you. Come to “Data cleaning in SQL” if you’ve had an introduction to SQL but want to move past the basics of “WHERE” and “ORDER BY.” We’ll cover how to deal with multiple spellings and misspellings, strange date formats, category codes, and a few other tricks and tips for using SQL to clean data.",Madi Alexander,2017-03-04,10:15,11:15,1.0,City Terrace 10,2702/3082,https://ire.org/events-and-training/event/2702/3082/
Drones for mapping,Demo,,Matt Waite,2017-03-04,10:15,11:15,1.0,River Terrace 2,2702/3023,https://ire.org/events-and-training/event/2702/3023/
Intro to database manager MySQL II,Hands-on,"We'll pick up from 'Intro to database manager MySQL I' and continue to cover SQL, introduce joining tables, and talk about some of the useful functions and other features unique to MySQL that make it a powerful and useful tool for reporting.

This session is good for: Anyone with basic spreadsheet or database skills; we suggest you take the first part of this class: Intro to database manager MySQL I.",Liz Lucas,2017-03-04,10:15,11:15,1.0,City Terrace 11,2702/2961,https://ire.org/events-and-training/event/2702/2961/
Mining data from the social web (hands-on),Hands-on,"From President Donald Trump’s Twitter account to fake news — social media platforms have become a major source for news.

This hands-on session will give journalists the ability to harvest information from the social web in structured and automated ways. Participants will learn how to collect information from Facebook pages and Twitter accounts via scraping and APIs and turn them into spreadsheets.

To get the most out of this session: Attendees should have a basic grasp of programming concepts but do not need to be proficient in coding. Attendees should have their own Twitter and Facebook accounts and create app IDs for API access in advance of the session.","Cathy Deng, Lam Thuy Vo",2017-03-04,10:15,11:15,1.0,City Terrace 7,2702/2958,https://ire.org/events-and-training/event/2702/2958/
Public finance and the EMMA website,Hands-on,"For reporters covering state or local government, the Electronic Municipal Market Access (EMMA®) website provides free access to detailed information about the financial health of states, cities and counties, as well as many hospitals, universities, stadiums and other ventures financed by public debt. Staff from the Municipal Securities Rulemaking Board will demonstrate how to find data and information on EMMA, from public finance credit ratings to comprehensive annual financial reports. This interactive session will also highlight several EMMA tools and resources that can assist reporters with monitoring state and local finances and identify potential stories.","Leah Szarek,",2017-03-04,10:15,11:15,1.0,City Terrace 4,2702/2953,https://ire.org/events-and-training/event/2702/2953/
Stats: Linear regression,Hands-on,,John Perry,2017-03-04,10:15,11:15,1.0,City Terrace 9,2702/2960,https://ire.org/events-and-training/event/2702/2960/
The art and science of the data story comment request,Panel,"So you’ve spent months analyzing data and collecting documents for an investigation and now it’s time to get a comment from the subject of your story. Except, they don’t like the story and don’t want to cooperate. How do you maximize your chances of getting a meaningful response? What does a well-crafted comment request look like? And what should you expect – and not expect – when you request comment for your story? Come hear answers to these and other questions as well as tips and tricks for managing your next big comment request.","Rob Barry, Cezary Podkul, Sarah Ryley",2017-03-04,10:15,11:15,1.0,River Terrace 3,2702/3010,https://ire.org/events-and-training/event/2702/3010/
Carwash: Data cleaning in Excel,Hands-on,,TBA,2017-03-04,11:30,12:30,1.0,City Terrace 10,2702/2964,https://ire.org/events-and-training/event/2702/2964/
Command line tools for reporters (PC),Hands-on,,Chad Day,2017-03-04,11:30,12:30,1.0,City Terrace 11,2702/3121,https://ire.org/events-and-training/event/2702/3121/
Conversations 11 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-04,11:30,12:30,1.0,City Terrace 12,2702/2986,https://ire.org/events-and-training/event/2702/2986/
Design track: Use a charting tool (Sponsored by Society for News Design),Hands-on,"We’ll take a look at Datawrapper and discuss how to use it, how to customize it for your newsroom styles, and more.","Grace Donnelly, Stacy Jones",2017-03-04,11:30,12:30,1.0,City Terrace 7,2702/3055,https://ire.org/events-and-training/event/2702/3055/
Going long on middleform,Panel,"We've all heard of longform journalism — it's been the model for visual storytelling ever since “Snowfall” came out in 2012. Recently, our newsrooms have been producing more and more ""middleform"" — spending a week or two on visual and graphic stories instead of a month or more. We'll give some examples of recent middleform work, talk about the challenges of this kind of storytelling, and talk about where we see the format going in the next few years.

**Moderated by Tom Cardoso, The Globe and Mail","Darla Cameron, Sarah Frostenson, Maureen Linke, Stuart Thompson, Tom Cardoso",2017-03-04,11:30,12:30,1.0,Conference Center A,2702/2920,https://ire.org/events-and-training/event/2702/2920/
Investigating bias and influence in criminal justice: Police and prosecutors,Panel,,TBA,2017-03-04,11:30,12:30,1.0,River Terrace 3,2702/3021,https://ire.org/events-and-training/event/2702/3021/
Personalized interactive journeys,Demo,,"Scott Blumenthal, Sandeep Junnarkar",2017-03-04,11:30,12:30,1.0,River Terrace 2,2702/3117,https://ire.org/events-and-training/event/2702/3117/
Security tools for journalists - hands on (repeat session),Hands-on,,Mike Tigas,2017-03-04,11:30,12:30,1.0,City Terrace 4,2702/3069,https://ire.org/events-and-training/event/2702/3069/
Stats: Logistic regression,Hands-on,,Jennifer LaFleur,2017-03-04,11:30,12:30,1.0,City Terrace 9,2702/2963,https://ire.org/events-and-training/event/2702/2963/
Visualization and analysis in Python (repeat session),Hands-on,,Chase Davis,2017-03-04,11:30,12:30,1.0,City Terrace 8,2702/3098,https://ire.org/events-and-training/event/2702/3098/
Lunch on your own (Saturday),Outside Event,,TBA,2017-03-04,12:30,14:15,1.75,See printed schedule for room information,2702/2998,https://ire.org/events-and-training/event/2702/2998/
Conversations 12 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-04,12:45,13:45,1.0,City Terrace 12,2702/2987,https://ire.org/events-and-training/event/2702/2987/
30/60: Thirty of the best free data storytelling tools in sixty mins,Demo,"Settle in and buckle up! News innovators-in-residence Mike Reilley a trainer with the SPJ/Google News Lab program and Victor Hernandez from Banjo crank up the gravity-defying mind-bending roller coaster of new digital tools -- 30 of the latest and greatest (and free) for your data reporting toolkits. Featuring hands-on training focused on the newest available data visualization methods, mapping tools, mobile newsgathering apps and more -- this adventure promises all of the excitement of your favorite thrill ride, sans the motion sickness.","Victor Hernandez, Mike Reilley",2017-03-04,14:15,15:15,1.0,River Terrace 2,2702/2922,https://ire.org/events-and-training/event/2702/2922/
Advanced Django for data analysis,Hands-on,,Adam Playford,2017-03-04,14:15,15:15,1.0,City Terrace 8,2702/3122,https://ire.org/events-and-training/event/2702/3122/
Building your first Leaflet.js map,Hands-on,"Maps! Who doesn't love wonderful, colorful maps? In this course we will be building a map with Leaflet.js., a very popular Javascript mapping library. The map will display both markers and shapes. The shapes will be used to create a basic choropleth map.",Chris Essig,2017-03-04,14:15,15:15,1.0,City Terrace 7,2702/2966,https://ire.org/events-and-training/event/2702/2966/
Data can only dance with its music: Understanding the ecology of public data,Panel,,"Carli Brosseau, Tom Johnson, Andrew Lehren",2017-03-04,14:15,15:15,1.0,Conference Center B,2702/2921,https://ire.org/events-and-training/event/2702/2921/
Getting started with Access without using SQL,Hands-on,,Mc Nelly Torres,2017-03-04,14:15,15:15,1.0,City Terrace 9,2702/3084,https://ire.org/events-and-training/event/2702/3084/
Inaugural hack swap,Special Event,,"Jeremy Bowers, Andrew Chavez, Jon McClure",2017-03-04,14:15,15:15,1.0,City Terrace 12,2702/2988,https://ire.org/events-and-training/event/2702/2988/
Investigating bias and influence in criminal justice: Judges and beyond,Panel,"Using data to investigate the criminal justice system The Sarasota Herald-Tribune draws on two large databases – one compiled by county clerks and the other by the Department of Corrections – to report on sentencing patterns of judges, prosecutors, public defenders and private attorneys in Florida. No news outlet has ever been able to evaluate actors in the judicial system on such a granular level before. But the data exists in at least 30 states, and we will show you how to tap into it.

**Moderated by Cheryl Phillips, Stanford University","Cheryl Phillips, Michael Braga, Robert Gebeloff, Barnaby Skinner",2017-03-04,14:15,15:15,1.0,River Terrace 3,2702/2926,https://ire.org/events-and-training/event/2702/2926/
Using R as a GIS for spatial analysis and visualization (advanced),Hands-on,"In this session, we'll be using R for spatial analysis and creating publication-worthy map graphics. Learn how to go beyond the dots to dig deeper and tell better stories with location data in bulk.",Andrew Tran,2017-03-04,14:15,15:15,1.0,City Terrace 5,2702/3083,https://ire.org/events-and-training/event/2702/3083/
What product can do for journalism,Panel,"Media companies, both startups, and legacy organizations are investing in news products, such as mobile apps, email newsletters, SMS bots, etc. The product approach, which demands design, data, technology, journalism, and management skills, is critical to the future of media and can lead to new revenue streams and rewarding new career paths.","Marie Gilot, Celeste LeCompte, Stacy-Marie Ishmael",2017-03-04,14:15,15:15,1.0,Conference Center A,2702/3035,https://ire.org/events-and-training/event/2702/3035/
Working with academics,Panel,,TBA,2017-03-04,14:15,15:15,1.0,River Terrace 1,2702/3048,https://ire.org/events-and-training/event/2702/3048/
